TG List Name,Contact1,Contact2,Contact3,Contact4,Contact5,Contact6,Contact7,Contact8,Contact9,Contact10,Contact11,Contact12,Contact13,Contact14,Contact15,Contact16,Contact17,Contact18,Contact19,Contact20,Contact21,Contact22,Contact23,Contact24,Contact25,Contact26,Contact27,Contact28,Contact29,Contact30,Contact31,Contact32
Scotland,Scotland TS1,Scotland TS2,Scot Chat 0 TS1,Scot Chat 0 TS2,Scot Multi TS1,Scot Multi TS2,Scot East TS2,Scot West TS1,Scot West TS2,Scot North TS1,Scot North TS2,Disconnect TS1,Disconnect TS2,,,,,,,,,,,,,,,,,,,
GB7GL,Scotland TS2,Scot West TS1,Scot Multi TS2,Scot Chat 0 TS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hotspot,Scotland TS2,Scot Multi TS2,Scot West TS1,Scot Chat 0 TS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB7EE,Scot Multi TS1,Scot West TS1,Scotland TS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB7FE,Scot Multi TS1,Scotland TS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB3OH,Scotland TS1,Scot West TS1,Scot Multi TS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB7LL,Scotland TS2,Scot Chat 0 TS1,Scot Multi TS1,Scot East TS1,Scot West TS1,UK Calling TS1,UK Chat TS1,,,,,,,,,,,,,,,,,,,,,,,,,
GB7CB,Scot Chat 0 TS1,Scot Multi TS1,Scotland TS2,Scot West TS2,Scot East TS2,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB7PA,Scot West TS1,Scotland TS2,Scot Multi TS2,GB7PA local,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB7AC,Scot West TS1,Scot Multi TS2,Scotland TS2,Scot Chat 0 TS2,GB7EC Local T2,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB7EC,Scot North TS1,GB7EC Local T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB7DB,Scot West TS1,Scot Multi TS1,Scotland TS2,Atlan. Canada T1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB7II,Scot North TS1,Scotland TS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB7SS,Scot North TS1,GB7SS Local T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB7YC,GB7YC Local T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB3HL,Scot North TS1,Scot West TS2,GB3HL Local T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB7EM,Scot Multi TS1,GB7EC Local T2,Scotland TS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB7BG,Scot Multi TS1,Scotland TS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB7DE,Scot West TS1,Scot Multi TS1,Scotland TS2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB7XG,UK Multi DvP T2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scot SAR,Local 9,Local 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB7ZT,Scot West TS1,Scot Multi TS1,Atlan. Canada T1,Aust. & N/Z T1,Iceland T1,Ulster T1,Scotland TS2,Australia T2,Aus. Victoria T2,London T2,,,,,,,,,,,,,,,,,,,,,,
GB7RG,Scot West TS2,Scotland TS1,Scot Multi TS1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GB7DG,Scot Multi TS1,Scot West TS1,Atlan. Canada T1,Iceland T1,Aust. & N/Z T1,Ulster T1,Scotland TS2,Aus. Victoria T2,London T2,,,,,,,,,,,,,,,,,,,,,,,
